arc,times,Primitive,Subject type,Subproperty of,Object Type,Activity,Others,Note
rdfs:label,223497,,,,,,,
<http://purl.org/dj/assignedFrom>,90370,Y,:Temporary,:derivedFrom,[not a :Output],,,
<http://purl.org/dj/appearsIn>,76216,Y,:Constant,:inJourney,:Journey,,"{ ?x a :Input } <- { ?s :appearsIn [] . ?s :assignedFrom ?x }
{ ?x a :Parameter } <- { ?s :appearsIn [] . FILTER NOT EXISTS { ?s :assignedFrom/:importedBy [] } }
{ ?x a :Support } <- { ?s :assignedFrom/:importedBy [] }",
<http://purl.org/dj/importedBy>,11131,Y,:Support,:copiedFrom,:Journey,:Reuse,,
<http://purl.org/dj/iteratorOf>,11252,Y,:Temporary,:filteredFrom,:Temporary,,,
<http://purl.org/dj/_argToVar>,9524,Y,:Temporary,:copiedFrom,:Temporary,,,
<http://purl.org/dj/print>,7887,,:Output,:movedFrom,,:Visualisation,,
<http://purl.org/dj/append>,5444,,:Temporary,:augmentedFrom,,:Preparation,,
<http://purl.org/dj/Add>,4516,+,:Temporary,:augmentedFrom,,:Preparation,,
<http://purl.org/dj/fit>,4026,,:Temporary,:computedFrom,,:Analysis,,
<http://purl.org/dj/apply>,3469,,:Temporary,:computedFrom,,,,
<http://purl.org/dj/Div>,3226,/,:Temporary,:computedFrom,,,,
<http://purl.org/dj/plot>,3024,,:Output,:visualisedFrom,,,,
<http://purl.org/dj/astype>,2963,,:Temporary,:optimizedFrom,,,,pandas.astype
<http://purl.org/dj/DataFrame>,2678,,:Temporary,:preparedFrom,,:Preparation,,
<http://purl.org/dj/read_csv>,2395,,:Temporary,:copiedFrom,:Input,:Movement,,
<http://purl.org/dj/predict>,2227,,:Temporary,:analysedFrom,,:Analysis,,
<http://purl.org/dj/mean>,2085,,:Temporary,:computedFrom,,,,
<http://purl.org/dj/subplots>,1971,,:Temporary,:visualisedFrom,,:Visualisation,,matplotlib.pyplot.subplots
<http://purl.org/dj/train_test_split>,1945,,:Temporary,:splitFrom,,:Preparation,,
<http://purl.org/dj/imshow>,1858,,:Output,:visualisedFrom,,:Visualisation,,matplotlib.pyplot.imshow
<http://purl.org/dj/title>,1820,,:Temporary,:cleanedFrom,,:Preparation,,
<http://purl.org/dj/show>,1795,,:Output,:visualisedFrom,,,,
